2024-11-19 	22:10:02 	0193478c-615a-77c3-a38c-297addd6d263 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:10:58 	0193478d-3d51-7176-a948-21d7348f69dd 	GET  	undefined             	/index.html
2024-11-19 	22:10:58 	0193478d-3d57-765b-99c2-bea8511f41b6 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:14:06 	01934790-1952-72aa-ac56-aa2ffccde9c8 	GET  	undefined             	/
2024-11-19 	22:14:06 	01934790-1957-7309-b602-b9e2175fc226 	GET  	undefined             	/css/styles.css
2024-11-19 	22:14:06 	01934790-1958-723f-96c5-cf0f61c76011 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:14:06 	01934790-1958-723f-96c5-d13c3a810d7d 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:14:06 	01934790-1963-75f8-aeee-bcc5e6c9e7d6 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:14:06 	01934790-1977-7640-9247-5d753e8d0bb9 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:14:08 	01934790-20c4-77db-b25e-fb3fc6a68289 	GET  	undefined             	/index.html
2024-11-19 	22:14:08 	01934790-20cb-75d8-b906-c0b0bf0867e1 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:14:08 	01934790-20f9-706a-8586-c8069096b004 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:14:08 	01934790-20f8-74f2-b391-0f6e159ffb40 	GET  	undefined             	/css/styles.css
2024-11-19 	22:14:08 	01934790-20fa-7413-972b-2f5bfb4e6e42 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:14:08 	01934790-210e-721c-a9a3-3427f8ad4b3e 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:14:08 	01934790-2121-7735-beca-3a73cd116e67 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:15:02 	01934790-f6c0-7575-aebc-10ece3bf9dc9 	GET  	undefined             	/index.html
2024-11-19 	22:15:02 	01934790-f6c7-75b8-9b32-11af3b92a71d 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:15:03 	01934790-f6f0-7788-80cd-6bc226400ad9 	GET  	undefined             	/css/styles.css
2024-11-19 	22:15:03 	01934790-f6f1-71b9-97d2-c6696bbc2298 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:15:03 	01934790-f6f1-71b9-97d2-cb1d6872f8cf 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:15:03 	01934790-f702-77e8-9533-7429931f86ea 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:15:03 	01934790-f714-75ed-b68e-a520a4fa8048 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:15:20 	01934791-3ac7-727f-a0e6-31c77b82d3a4 	GET  	undefined             	/
2024-11-19 	22:15:20 	01934791-3acc-7736-8146-602a764d3def 	GET  	undefined             	/css/styles.css
2024-11-19 	22:15:20 	01934791-3acd-73ca-98bd-271af6bd60d9 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:15:20 	01934791-3acd-73ca-98bd-2bf0ae9628be 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:15:22 	01934791-4273-70ac-893e-3e432e821c97 	GET  	undefined             	/index.html
2024-11-19 	22:15:22 	01934791-427b-71b7-bcd4-cc7f5c0df81c 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:15:22 	01934791-42a2-76f8-bd80-16b2fdf1c711 	GET  	undefined             	/css/styles.css
2024-11-19 	22:15:22 	01934791-42a2-76f8-bd80-19e3ed113000 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:15:22 	01934791-42a2-76f8-bd80-1e53644e721e 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:15:22 	01934791-42b7-716b-9c6e-95fbeb59618f 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:15:22 	01934791-42ca-743a-917b-32806a3d996a 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:16:35 	01934792-6148-776a-a8b9-8248fa15061f 	GET  	undefined             	/
2024-11-19 	22:16:35 	01934792-614d-7524-80fa-2d79a9f26f79 	GET  	undefined             	/css/styles.css
2024-11-19 	22:16:35 	01934792-614d-7524-80fa-32b3f5a73ca6 	GET  	undefined             	/imgs/basicLogo.jpeg
